ns_domain,domain_count,nameserver_count
cloudflare.com,18004836,2118
domaincontrol.com,14091701,142
afternic.com,7757376,29
googledomains.com,5994167,93
registrar-servers.com,5888279,243
alidns.com,3991934,48
verify.hn,3352475,15129
dns-parking.com,2887851,143
porkbun.com,2646569,49
onamae.com,2576089,11
name.com,1684789,218
xundns.com,1675176,24
hichina.com,1416917,62
nsone.net,1393311,191
spaceship.net,1392030,14
dnsowl.com,1312596,16
dyna-ns.net,1258394,6
363.hk,1136192,6
ui-dns.org,1093713,142
ui-dns.com,1093578,140
ui-dns.de,1093501,136
ui-dns.biz,1093384,138
wixdns.net,1051900,108
dnsip.com,987633,11
worldnic.com,928737,106
wordpress.com,892566,51
co.uk,789332,8156
name-services.com,767243,9
abovedomains.com,764865,290
squarespacedns.com,747321,36
namecheaphosting.com,742847,35
ovh.net,722866,825
reg.ru,654164,36
orderbox-dns.com,649219,11580
rzone.de,582632,44
dnspod.net,561704,2037
bluehost.com,529718,35
dnspod.com,512869,20
myhostadmin.net,505718,19
markmonitor.com,490810,13
dreamhost.com,467795,34
parklogic.com,451755,179
gandi.net,451249,799
xserver.jp,400702,32
net.au,390640,1104
taoa.com,389289,6
onamae-expired.com,374844,2
crazydomains.com,372709,15
dnsv.jp,353291,11
activateidea.com,349290,2
hover.com,348932,40
share-dns.net,348216,13
share-dns.com,348216,13
sedopark.net,337224,2
vercel-dns.com,327392,37
shadowserver.org,319849,22
domain.com,315213,23
siteground.net,272265,43
namecheap.com,270063,15
com.br,262259,7995
natrohost.com,260491,50
turkticaret.net,255239,7
digitalocean.com,243551,37
sedoparking.com,241246,24
register.com,237427,746
dns-expired.com,234852,2
cscdns.net,232431,6
beget.com,228968,19
hostgator.com,218415,6523
technorail.com,215257,5
cloudns.net,213301,154
beget.pro,198831,5
bigrock.in,195384,68
systemdns.com,193986,5
kasserver.com,178956,15
udag.net,178549,2
udag.org,178547,2
udag.de,178545,2
donweb.com,178087,17
dns-redirect.com,169138,2
foundationapi.com,166658,23
nic.ru,151802,69
suspended-domain.com,150960,4
longmingdns.com,142974,2
ns14.net,142866,6
hyp.net,138925,7
adsnameserver.com,131878,5
judns.com,126578,4
one.com,120201,12
register.it,119935,2
co.kr,119345,1126
muumuu-domain.com,116493,4
eurodns.com,116183,5
akam.net,111930,472
ne.jp,111729,767
dnsmadeeasy.com,111594,31
cdmon.net,109526,23
arubadns.cz,107592,1
arubadns.net,107566,2
domainactive.org,106610,2
